day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,MD,LB,LR,lat,long
6,14,insinyur sutami,tamalanrea,1,4,4,-,-,1,-5.0891074,119.4804065
2,17,pettarani,panakkukang,4,6,7,-,-,-,-5.1487126,119.4380057
5,15,pettarani,panakkukang,4,6,7,-,-,-,-5.1487126,119.4380057
5,5,tamangapa raya,manggala,5,8,5,-,-,1,-5.1767373,119.4843844
2,20,dangko,tamalate,5,4,5,-,-,1,-5.1811574,119.4128553
6,7,pettarani,panakkukang,4,4,7,-,-,2,-5.1487126,119.4380057
6,14,serigala,mamajang,4,6,7,-,-,1,-5.1607129,119.4210329
5,17,dr. leimena,manggala,1,4,4,-,-,1,-5.1499864,119.4710753
4,13,daeng tata raya,tamalate,1,4,4,1,-,1,-5.1850019,119.423432
3,9,jenderal ahmad yani,ujung pandang,5,6,5,-,-,1,-5.1329527,119.4103466
5,15,bandang,bontoala,1,4,4,-,-,1,-5.1329092,119.4213666
0,9,mesjid raya,bontoala,4,6,5,-,-,1,-5.1333841,119.4274196
0,9,jenderal sudirman,ujung pandang,4,6,5,-,-,1,-5.1345222,119.4137962
0,8,andi mappaodang,tamalate,4,4,7,-,-,1,-5.1732205,119.4158686
2,20,kerung-kerung,makassar,4,4,5,-,-,1,-5.1402349,119.4257622
3,3,jenderal ahmad yani,ujung pandang,4,4,8,-,1,1,-5.1329527,119.4103466
0,21,perintis kemerdekaan,biringkanaya,4,4,5,-,-,1,-5.117784,119.5110136
4,3,metro tanjung bunga,tamalate,1,8,4,-,-,4,-5.1661576,119.3917443
4,3,sam ratulangi,makassar,5,6,5,-,-,2,-5.1499595,119.4158152
1,19,rusa,makassar,5,6,5,-,-,1,-5.1502899,119.4217149
2,19,pettarani,panakkukang,4,4,7,-,-,1,-5.1487126,119.4380057
6,14,letjen hertasning,panakkukang,1,4,4,-,-,1,-5.1625545,119.4430925
1,21,pengayoman,panakkukang,4,4,7,-,-,-,-5.1592732,119.4466246
2,21,telegraph utama,biringkanaya,4,4,7,-,-,1,-5.13054,119.5149116
2,22,perintis kemerdekaan,biringkanaya,5,6,7,-,-,-,-5.117784,119.5110136
3,21,poros perumnas sudiang,biringkanaya,1,4,4,-,-,1,-5.102836,119.532664
3,12,urip sumuharjo,panakkukang,1,4,4,-,-,1,-5.1348243,119.4316818
2,15,rutan,rappocini,5,4,4,-,-,1,-5.17339175,119.43726876806642
0,15,cendrawasih,mariso,1,4,4,-,-,1,-5.155219,119.4137008
0,22,urip sumuharjo,panakkukang,1,4,4,-,-,1,-5.1348243,119.4316818
2,16,pajukukang,tamalate,1,4,4,-,-,1,-5.2019757,119.3874662
2,23,datu musseng,ujung pandang,4,6,7,-,-,-,-5.1434702,119.409872
4,8,mallombassang,tamalate,4,4,5,-,-,4,-5.1754863,119.4156656
4,15,jenderal sudirman,ujung pandang,4,6,5,-,-,2,-5.1345222,119.4137962
6,10,cendrawasih,mariso,4,4,5,-,-,1,-5.155219,119.4137008
6,15,sam ratulangi,mamajang,5,4,4,-,-,1,-5.1545939,119.4163683
0,1,datu musseng,ujung pandang,5,6,7,-,-,-,-5.1434702,119.409872
5,23,antang raya,manggala,4,4,5,-,-,1,-5.1602384,119.4774127
4,18,muhajirin,tamalate,4,6,7,-,-,-,-5.1863896,119.4323543
4,21,batua raya,panakkukang,5,6,7,-,-,-,-5.1496211,119.4605657
6,17,daeng tata raya,tamalate,1,4,4,-,-,1,-5.1850019,119.423432
4,17,pettarani,rappocini,5,6,7,-,-,-,-5.1510383,119.4374766
4,9,perintis kemerdekaan,biringkanaya,5,6,5,-,-,1,-5.117784,119.5110136
0,7,kima raya,biringkanaya,4,4,5,-,-,2,-5.1103799,119.5032456
4,6,perintis kemerdekaan,biringkanaya,4,6,7,-,-,-,-5.117784,119.5110136
0,9,veteran utara,makassar,4,6,5,-,-,1,-5.1392193,119.4233132
3,4,pelita raya,rappocini,1,6,4,1,-,2,-5.1528655,119.4341715
3,0,urip sumuharjo,makassar,1,4,4,1,-,-,-5.1348243,119.4316818
0,12,laikang,biringkanaya,4,4,5,-,-,2,-5.1040237,119.5375731
0,9,perintis kemerdekaan,tamalanrea,2,4,4,-,-,1,-5.1402715,119.48329437389705
0,20,tala' salapang i,rappocini,5,4,4,-,-,1,-5.1829836,119.4475458
1,22,profesor abdurrahman basalamah,panakkukang,4,4,5,-,-,1,-5.1471505,119.4492661
1,13,letjen hertasning,rappocini,4,4,7,-,-,1,-5.1630661,119.4444202
2,9,veteran selatan,mamajang,5,6,5,-,-,1,-5.162773,119.4212589
3,0,gunung bawakaraeng,ujung pandang,4,4,5,-,-,2,-5.1348657,119.4243319
1,14,kerukunan timur 1,tamalanrea,6,4,4,-,-,1,-5.1396032,119.5097252
5,18,salodong,biringkanaya,4,6,5,1,-,1,-5.0751774,119.4830507
5,23,sungai saddang,makassar,4,6,5,-,-,1,-5.1468435,119.4250654
5,7,urip sumuharjo,panakkukang,5,6,5,-,-,3,-5.1348243,119.4316818
5,14,ujung bor,manggala,5,6,5,-,-,2,-5.1656257,119.5074161
3,10,kartini,ujung pandang,5,4,4,-,-,1,-5.136049,119.413662
5,15,urip sumuharjo,panakkukang,5,6,5,-,-,1,-5.1348243,119.4316818
