"no","day","date","time","address","district","accident_types","suspect_age","victim_age","suspect_vehicle","victim_vehicle","MD","LB","LR","material_loss"
"859","Saturday","2018-07-21","5:00"," Jenderal Sudirman","Ujung Pandang","OC","21","-","R2","-","-","-","1","-"
"860","Sunday","2018-07-22","13:00"," Cendrawasih","Mariso","TK","23","82","R2","Rro","-","-","2","500,000"
"861","Saturday","2018-07-21","17:05"," Pettarani","Rappocini","TK","31","42","R2","R4","-","-","1","300,000"
"862","Friday","2018-07-20","22:00"," Pintu Bandar Udara Internasional Sultan Hasanuddin","Biringkanaya","TK","54","48","R4","R4","-","-","-","6,000,000"
"863","Sunday","2018-07-22","22:30"," Cendrawasih","Mariso","TK","18","42","R2","R2","1","-","-","200,000"
"864","Saturday","2018-07-21","5:00"," Gunung Tinggimae","Ujung Pandang","TM","57","23","R2","-","-","-","2","50,000"
"865","Saturday","2018-07-21","23:00"," Kapasa Raya","Tamalanrea","OC","23","-","R2","-","-","-","1","300,000"
"866","Sunday","2018-07-22","22:00"," Perumnas Raya","Manggala","TK","16","43","R2","R2","-","-","2","500,000"
"867","Friday","2018-07-20","15:30"," Perintis Kemerdekaan","Biringkanaya","TK","21","31","R4","R2","-","-","2","7,000,000"
"868","Thursday","2018-07-19","23:00"," Veteran Selatan","Mamajang","OC","23","-","R2","-","-","-","1","-"
"869","Saturday","2018-07-21","17:30","Urip Sumuharjo","Panakkukang","OC","48","-","R2","-","-","-","1","-"
"870","Sunday","2018-07-22","21:00"," Daeng Tata Raya ","Tamalate","OC","20","-","R2","-","-","-","1","300,000"
"871","Monday","2018-07-23","21:30"," Manuruki","Biringkanaya","OC","16","16","R2","-","-","-","2","150,000"
"872","Friday","2018-07-13","12:00"," Perintis Kemerdekaan","Tamalanrea","TL","-","59","R2","R2","-","-","1","200,000"
"873","Sunday","2018-07-22","21:30"," Perintis Kemerdekaan","Tamalanrea","TL","-","39","R2","R2","-","-","2","75,000"
"874","Sunday","2018-07-22","20:00","Urip Sumuharjo","Makassar","TM","19","52","R2","-","-","-","1","100,000"
"875","Tuesday","2018-07-24","18:30"," Taman Makam Pahlawan","Panakkukang","T","62","-","R2","-","-","-","1","500,000"
"876","Monday","2018-07-23","23:00"," Paccerakkang","Biringkanaya","T","22","-","R2","-","-","-","1","150,000"
"877","Wednesday","2108-07-25","21:30"," Perintis Kemerdekaan","Tamalanrea","TL","-","30","R2","R2","-","-","2","100,000"
"878","Tuesday","2018-07-24","6:30"," Perintis Kemerdekaan","Tamalanrea","TK","30","34","R2","M","-","-","1","500,000"
"879","Tuesday","2018-07-24","10:00"," Daeng Tata Raya IV ","Tamalate","OC","51","46","R2","-","-","-","1","-"
"880","Tuesday","2018-07-24","22:30"," Metro Tanjung Bunga","Tamalate","OC","24","-","R2","-","-","-","1","-"
"881","Wednesday","2018-07-25","9:30","Mangga III","Biringkanaya","OC","43","64","R2","-","-","-","1","-"
"882","Wednesday","2018-07-25","23:50"," Teuku Umar Raya","Tallo","TK","31","21","R10","R2","2","-","-","1,000,000"
"883","Wednesday","2018-07-25","14:00"," Dg. Hayo","Manggala","OC","22","17","R2","-","-","-","1","1,000,000"
"884","Thursday","2018-07-26","13:30"," Mesjid Muhajirin","Makassar","OC","14","13","R2","-","-","-","1","-"
"885","Wednesday","2018-07-25","10:15"," Veteran Utara","Makassar","OC","20","-","R2","R4","-","-","1","500,000"
"886","Friday","2018-07-27","10:15"," Sungai Saddang Baru ","Makassar","TK","43","66","R4","R2","1","-","-","200,000"
"887","Thursday","2018-07-26","11:44"," Kumala","Tamalate","TM","20","12","R2","-","-","-","1","-"
"888","Thursday","2018-07-26","16:00"," Jenderal Sudirman","Ujung Pandang","TL","23","44","R4","R2","-","-","1","600,000"
"889","Friday","2018-07-27","9:00"," Penghibur","Ujung Pandang","TK","43","42","R2","R2","-","-","2","500,000"
"890","Saturday","2018-07-21","20:00"," Veteran Utara","Makassar","TL","-","52","R2","R2","-","-","1","50,000"
"891","Thursday","2018-07-26","19:30"," Veteran Utara","Makassar","TM","55","58","R2","-","-","-","1","100,000"
"892","Friday","2018-07-27","17:00"," Monumen Emmy Saelan ","Rappocini","TK","32","52","R4","R4","-","-","-","2,000,000"
"893","Wednesday","2018-07-25","22:00"," Insinyur Sutami","Tamalanrea","OC","43","-","R2","-","-","-","1","-"
"894","Friday","2018-07-27","13:30"," Tamalanrea Selatan","Tamalanrea","TK","40","58","R2","R4","-","-","1","2,000,000"
"895","Friday","2018-07-27","10:35"," Pajaiang","Biringkanaya","TB","50","21","R2","R2","-","-","2","500,000"
"896","Sunday","2018-07-29","8:00"," Pettarani","Panakkukang","TL","-","34","R4","R2","-","-","1","400,000"
"897","Friday","2018-07-27","17:30"," Abdullah Daeng Sirua","Panakkukang","TL","-","17","R2","R2","-","-","1","50,000"
"898","Thursday","2018-07-26","17:00"," Kapasa Raya ","Tamalanrea","TK","19","17","R2","R2","-","-","1","200,000"
"899","Friday","2018-07-27","5:10"," Pettarani","Rappocini","TL","-","20","R2","R2","-","-","1","500,000"
"900","Saturday","2018-07-28","13:45"," Kandea II","Bontoala","TL","-","5","R2","-","-","-","1","-"
"901","Thursday","2018-07-26","21:00"," Veteran Selatan","Mamajang","OC","15","-","R2","-","-","-","1","-"
"902","Sunday","2018-07-29","9:00"," Botolempangan","Ujung Pandang","TL","-","16","R2","Rro","-","-","1","150,000"
"903","Sunday","2018-07-29","16:15"," Nusa Tamalanrea Indah","Tamalanrea","TM","26","2","R4","-","1","-","-","-"
"904","Friday","2018-07-27","23:00"," Goa Ria","Biringkanaya","T","56","-","R2","-","-","-","1","100,000"
"905","Saturday","2018-07-28","8:00"," Perintis Kemerdekaan ","Tamalanrea","TK","76","30","R2","R2","-","-","1","100,000"
"906","Friday","2018-07-20","13:30"," Pajaiang","Biringkanaya","OC","36","-","R2","-","-","-","1","-"
"907","Sunday","2018-07-29","19:20"," A.R. Hakim","Tallo ","TK","20","11","R2","R2","-","-","2","3,000,000"
"908","Monday","2018-07-30","10:10"," Jenderal Ahmad Yani","Ujung Pandang","TK","27","41","R4","R2","-","-","1","3,000,000"
"909","Saturday","2018-07-21","15:30","Urip Sumuharjo","Panakkukang","OC","18","-","R2","-","-","-","1","-"
"910","Saturday","2018-07-21","20:15"," Perintis Kemerdekaan","Biringkanaya","TK","30","24","R2","R6","-","-","1","1,000,000"
"911","Tuesday","2018-07-31","10:50"," Kapasa Raya ","Tamalanrea","TK","33","33","R2","R4","-","-","1","2,000,000"
"912","Tuesday","2018-07-31","15:00"," Tamalanrea Raya","Tamalanrea","TL","-","35","R2","R2","-","-","1","100,000"
