no,day,date,time,address,district,accident_types,suspect_age,victim_age,suspect_vehicle,victim_vehicle,MD,LB,LR,material_loss
1957,Wednesday,2019-05-08,2:30, Perintis Kemerdekaan,Tamalanrea,TK,20,23,R2,R4,-,-,1,"3,000,000"
1958,Monday,2019-05-06,10:00, Tamangapa Raya,Manggala,TK,62,29,R2,R2,-,-,1,"200,000"
1959,Wednesday,2019-05-08,7:00, Insinyur Sutami,Biringkanaya,TL,-,24,R2,R2,-,-,1,"100,000"
1960,Monday,2019-04-29,7:00, Perintis Kemerdekaan,Tamalanrea,TL,-,54,R4,R2,-,-,1,"100,000"
1961,Tuesday,2019-05-07,15:30, Abdul Kadir,Tamalate,TK,33,19.5,R4,R4,-,-,3,"5,000,000"
1962,Wednesday,2019-05-08,7:00, Monginsidi,Makassar,TM,17,12,R2,-,-,-,1,-
1963,Wednesday,2019-05-08,6:00, Tinumbu,Bontoala,TL,-,43,R2,R2,-,-,1,"700,000"
1964,Wednesday,2019-05-08,2:00, Penghibur,Ujung Pandang,TL,-,18,R2,R2,-,-,1,"150,000"
1965,Wednesday,2019-05-08,17:50,Nipa Nipa 2,Manggala,TL,-,24,R2,R2,-,-,-,-
1966,Thursday,2019-05-09,6:30, Perintis Kemerdekaan,Biringkanaya,TK,19,42,R2,R4,-,-,1,"2,000,000"
1967,Thursday,2019-05-09,14:30, Poros Asrama Haji,Biringkanaya,TK,31,21,R4,R2,-,-,1,"2,500,000"
1968,Thursday,2019-05-09,8:30, Perintis Kemerdekaan,Biringkanaya,TK,30,19,R2,R2,-,-,2,"500,000"
1969,Wednesday,2019-05-08,13:30, Perintis Kemerdekaan,Tamalanrea,TL,-,34,R2,R2,-,-,1,"500,000"
1970,Thursday,2019-05-09,10:30, Perintis Kemerdekaan,Tamalanrea,TL,-,23,R2,-,-,-,1,-
1971,Thursday,2019-05-09,8:45, Raya Kampus Unhas,Tamalanrea,TK,20,23.5,R2,R2,-,-,2,"1,000,000"
1972,Saturday,2019-04-20,11:00, Bakung I,Biringkanaya,TM,15,10,R2,-,-,-,3,-
1973,Friday,2019-05-10,14:00, Salahutu,Makassar,TK,39,24.5,R4,R2,-,-,1,"500,000"
1974,Sunday,2019-04-21,19:30, Cendrawasih,Mariso,TK,25,73,R4,R3,-,-,1,"500,000"
1975,Friday,2019-05-10,9:00, Sungai Saddang Baru,Makassar,TL,-,34,R2,R2,-,-,1,"100,000"
1976,Friday,2019-05-10,3:50, Pettarani,Panakkukang,TK,24,36,R4,R2,-,-,2,"3,000,000"
1977,Thursday,2019-05-09,18:30, Pelita Raya,Rappocini,TL,-,71,R2,-,-,-,1,-
1978,Saturday,2019-05-11,12:00, Maccini Sawah,Makassar,TK,43,45.5,R4,R2,-,-,2,"6,000,000"
1979,Saturday,2019-05-11,14:00, Lamadukelleng,Ujung Pandang,TL,-,19,R4,R2,-,-,1,"100,000"
1980,Sunday,2019-05-12,5:00, Cendrawasih,Mamajang,TK,66,15,R2,R2,-,-,3,"500,000"
1981,Sunday,2019-05-12,23:25, Perintis Kemerdekaan,Tamalanrea,TK,30,29,R2,R4,-,-,2,"2,000,000"
1982,Sunday,2019-05-12,5:30, Insinyur Sutami,Tamalanrea,TK,16,26.7,R2,R2,-,-,4,"2,000,000"
1983,Saturday,2019-05-11,10:00, Daeng Ngeppe,Tamalate,T,41,26.8,R2,-,-,-,1,-
1984,Sunday,2019-05-12,9:00, Insinyur Sutami,Tamalanrea,T,60,74,R2,-,-,-,2,"200,000"
1985,Saturday,2019-05-11,12:30, Rappocini Raya,Rappocini,TL,-,28,R2,R2,-,-,1,"50,000"
1986,Monday,2019-05-13,13:00, Tala' salapang,Rappocini,TL,-,19,R2,R2,-,-,1,-
1987,Monday,2019-05-13,13:00, Perintis Kemerdekaan,Biringkanaya,TL,-,21,R4,R2,-,-,1,"1,000,000"
1988,Saturday,2019-05-18,21:00, Perintis Kemerdekaan,Tamalanrea,TL,-,23,R4,R2,-,-,1,"1,000,000"
1989,Saturday,2019-05-04,16:00, Tupai,Mamajang,TK,20,-,R2,R2,1,-,-,"200,000"
1990,Tuesday,2019-05-14,9:00, Gunung Bulusaraung,Ujung Pandang,TK,19,54,R2,R2,1,-,2,"500,000"
1991,Tuesday,2019-05-14,19:30, Veteran Selatan,Mamajang,TK,28,57,R2,R2,-,-,1,"100,000"
1992,Tuesday,2019-05-14,15:15, Abdul Kadir,Tamalate,TL,-,11,R2,-,-,-,1,-
1993,Tuesday,2019-05-14,6:30, Sultan Hasanuddin,Ujung Pandang,TM,26,52,R2,-,-,-,1,"100,000"
1994,Wednesday,2019-05-15,12:00, Andi Djemma,Rappocini,TL,-,25,R4,R2,-,-,1,"500,000"
1995,Wednesday,2019-05-15,12:15, Toddopuli V,Panakkukang,TK,16,45,R2,R2,-,-,2,"1,000,000"
1996,Wednesday,2019-05-15,12:42, Pengayoman,Panakkukang,TK,41,18,R4,R2,-,-,1,"2,000,000"
1997,Wednesday,2019-05-15,22:30,Tala' salapang,Rappocini,TL,-,37,R3,R2,-,-,2,"500,000"
1998,Friday,2019-05-17,10:00, Perintis Kemerdekaan,Tamalanrea,TK,23,20,R2,R2,-,-,2,"1,000,000"
1999,Thursday,2019-05-16,13:00, Raya Kampus Unhas,Tamalanrea,TM,28,16.5,R2,R2,-,-,3,"150,000"
2000,Thursday,2019-05-16,12:00, Perintis Kemerdekaan,Tamalanrea,TL,-,21,R2,-,-,-,1,-
2001,Thursday,2019-05-16,18:20, Paccerakkang,Biringkanaya,TL,-,25.5,R2,-,-,-,2,-
2002,Thursday,2019-05-16,19:20, Perintis Kemerdekaan,Biringkanaya,TM,24,71,R2,-,1,-,1,"200,000"
2003,Friday,2019-05-17,9:00, Kandea III,Bontoala,TM,39,3,R2,-,-,-,1,"100,000"
2004,Friday,2019-05-17,8:30, Gatot Subroto,Tallo,TK,24,50,R2,R2,-,-,1,"500,000"
2005,Monday,2019-05-20,1:30, Cumi-Cumi,Bontoala,T,20,-,R2,-,1,-,-,"500,000"
2006,Saturday,2019-05-18,13:56, Pengayoman,Panakkukang,TK,22,21,R4,R2,-,-,1,"100,000"
2007,Saturday,2019-05-18,10:30,Urip Sumuharjo,Panakkukang,TM,18,58,R2,-,-,-,2,"200,000"
2008,Friday,2019-05-17,21:00, Pettarani,Panakkukang,TL,-,76,R4,R2,-,-,1,"300,000"
2009,Friday,2019-05-17,20:00,Perintis Kemerdekaan km. 19,Biringkanaya,TK,34,45,R2,R2,-,-,2,"300,000"
2010,Friday,2019-05-17,15:30, Perintis Kemerdekaan,Tamalanrea,TL,-,47,R4,R2,-,-,1,"100,000"
2011,Wednesday,2019-05-15,13:00, Salodong,Biringkanaya,LL,22,56,R6,-,-,-,-,"25,000,000"
2012,Monday,2019-04-29,17:00, Gunung Malabar,Ujung Pandang,TK,21,28,R2,R4,-,-,1,"1,000,000"
2013,Thursday,2019-05-16,11:00,Urip Sumuharjo,Bontoala,TM,25,70,R2,-,-,-,2,"100,000"
2014,Saturday,2019-05-11,20:30, Jipang Raya,Rappocini,TK,31,35.7,R3,R2,-,-,3,"50,000"
2015,Wednesday,2019-05-15,12:00, Malengkeri,Tamalate,TK,19,37,R4,R4,-,-,-,"3,000,000"
2016,Monday,2019-05-20,7:30, Pajukukang,Tamalate,OC,41,-,R2,R2,-,-,1,-
2017,Friday,2019-05-17,22:25, Malengkeri,Tamalate,TK,25,21,R2,R2,-,-,1,"500,000"
2018,Tuesday,2019-05-21,20:00, Kima Raya II,Biringkanaya,T,42,61,R2,-,-,-,1,"100,000"
2019,Monday,2019-05-20,20:00, Mula Baru,Tamalanrea,TM,29,8,R4,-,-,-,1,-
2020,Monday,2019-05-20,11:00, Andi Mangerangi,Tamalate,TL,-,57,R3,R2,-,-,1,-
2021,Monday,2019-05-20,0:15, Veteran Selatan,Mamajang,TK,17,25,R2,R2,-,-,1,"500,000"
2022,Tuesday,2019-05-21,11:30, Ujung Bor,Manggala,TL,-,54,R2,R2,-,-,1,"50,000"
2023,Sunday,2019-05-19,21:00, Sunu,Tallo,TM,17,47,R2,-,-,-,1,-
2024,Monday,2019-05-20,15:00, Pettarani,Panakkukang,TL,-,55,R4,R2,-,-,2,"500,000"
2025,Wednesday,2019-05-22,11:00, Boulevard,Panakkukang,TL,-,29,R4,R2,-,-,1,"300,000"
2026,Monday,2019-05-20,16:00, Perintis Kemerdekaan III,Tamalanrea,TL,-,19,R2,R2,-,-,1,"200,000"
2027,Wednesday,2019-05-22,17:00, Pajukukang,Tamalate,TL,-,66,R2,-,-,-,1,-
2028,Wednesday,2019-05-22,0:30, Borong Raya,Manggala,TK,27,46,R2,R2,-,-,2,"700,000"
2029,Friday,2019-05-24,10:30, Perintis Kemerdekaan,Biringkanaya,TK,15,26,R4,R2,-,-,1,"50,000"
2030,Friday,2019-05-24,22:00,Urip Sumuharjo,Panakkukang,TL,-,24,R4,R2,-,-,1,"200,000"
2031,Friday,2019-05-24,6:45,Urip Sumuharjo,Panakkukang,TL,-,50,R4,R2,-,-,1,"300,000"
2032,Friday,2019-05-24,16:00, Kumala,Tamalate,TK,50,21,R4,R4,-,-,-,"1,000,000"
2033,Sunday,2019-05-26,3:00, Paccerakkang,Tamalanrea,TL,-,13,R2,R2,-,-,1,"500,000"
2034,Saturday,2019-05-25,18:30, Insinyur Sutami,Biringkanaya,TK,15,26,R2,R2,-,-,2,"500,000"
2035,Sunday,2019-05-26,10:45, Perintis Kemerdekaan,Biringkanaya,TK,36,44,R4,R4,-,-,1,"500,000"
2036,Sunday,2019-05-26,7:00, Paccerakkang,Biringkanaya,TK,16,30,R2,R2,-,-,2,"100,000"
2037,Saturday,2019-05-25,10:00, Raya Kampus Unhas,Tamalanrea,TM,21,18,R2,R2,-,-,1,-
2038,Saturday,2019-05-25,17:40, Perintis Kemerdekaan,Tamalanrea,TL,-,28,R2,-,-,-,1,-
2039,Sunday,2019-05-26,14:30, Nuri,Mariso,TK,41,20,R2,R2,-,-,2,"250,000"
2040,Sunday,2019-05-26,14:00, Monginsidi,Makassar,TM,20,50,R2,-,-,-,1,"200,000"
2041,Monday,2019-05-27,14:20, Insinyur Sutami,Tamalanrea,TK,34,43,R6,R2,-,-,1,"100,000"
2042,Sunday,2019-05-26,1:00, Perintis Kemerdekaan,Tamalanrea,TL,-,20,R4,R2,-,1,-,"100,000"
2043,Monday,2019-05-27,5:00, Aroepala,Rappocini,TL,-,30,R2,R2,2,-,-,"500,000"
2044,Wednesday,2019-05-22,22:50, Anggrek II,Panakkukang,TK,26,55,R2,R2,-,2,-,"1,000,000"
2045,Tuesday,2019-05-28,1:20, Pajaiang,Biringkanaya,TK,50,-,R2,R4,1,-,-,-
2046,Tuesday,2019-05-28,21:30, Cendrawasih,Mamajang,TK,47,19,R2,R2,-,-,2,"100,000"
2047,Tuesday,2019-05-28,6:00, Aroepala,Rappocini,TK,57,46,R2,R2,-,-,1,-
2048,Sunday,2019-05-12,17:00, Veteran Selatan,Makassar,TL,-,61,R4,R2,-,-,1,"200,000"
2049,Wednesday,2019-05-29,8:15,Urip Sumuharjo,Panakkukang,TM,16,57,R2,-,-,-,2,"300,000"
2050,Thursday,2019-05-30,20:30, Penghibur,Ujung Pandang,TK,58,19,R4,R4,-,-,-,"2,500,000"
2051,Monday,2019-05-27,6:00, Maccini Kidul,Makassar,TK,49,66,R2,Rro,-,-,-,"100,000"
2052,Tuesday,2019-05-28,14:00, Insinyur Sutami 1,Tamalanrea,TK,50,34,R6,R4,-,-,-,"18,000,000"
