day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Monday,Afternoon,aroepala,rappocini,TK,R2,R4,-5.1724693,119.4530673
Saturday,Night,urip sumuharjo,panakkukang,TK,R2,R2,-5.1348243,119.4316818
Monday,Night,barawaja,panakkukang,TL,R4,R2,-5.1357031,119.4402319
Sunday,Evening,pettarani,rappocini,TK,R2,R4,-5.1510383,119.4374766
Wednesday,Afternoon,insinyur sutami,tamalanrea,OC,R2,NOV,-5.085731,119.4904613
Saturday,Afternoon,pettarani,panakkukang,TK,R4,R4,-5.1487126,119.4380057
Tuesday,Afternoon,pettarani,panakkukang,TK,R4,R4,-5.1487126,119.4380057
Tuesday,Morning,tamangapa raya,manggala,TL,TR,R2,-5.1767373,119.4843844
Saturday,Evening,dangko,tamalate,TL,R2,R2,-5.1811574,119.4128553
Wednesday,Morning,pettarani,panakkukang,TK,R2,R4,-5.1487126,119.4380057
Wednesday,Afternoon,serigala,mamajang,TK,R4,R4,-5.1607129,119.4210329
Tuesday,Afternoon,dr. leimena,manggala,OC,R2,NOV,-5.1499864,119.4710753
Thursday,Afternoon,daeng tata raya,tamalate,OC,R2,NOV,-5.1850019,119.423432
Sunday,Morning,jenderal ahmad yani,ujung pandang,TL,R4,R2,-5.1329527,119.4103466
Tuesday,Afternoon,bandang,bontoala,OC,R2,NOV,-5.1329092,119.4213666
Friday,Morning,mesjid raya,bontoala,TK,R4,R2,-5.1333841,119.4274196
Friday,Morning,jenderal sudirman,ujung pandang,TK,R4,R2,-5.1345222,119.4137962
Friday,Morning,andi mappaodang,tamalate,TK,R2,R4,-5.1732205,119.4158686
Saturday,Evening,kerung-kerung,makassar,TK,R2,R2,-5.1402349,119.4257622
Sunday,Night,jenderal ahmad yani,ujung pandang,TK,R2,Rro,-5.1329527,119.4103466
Friday,Evening,perintis kemerdekaan,biringkanaya,TK,R2,R2,-5.117784,119.5110136
Thursday,Night,metro tanjung bunga,tamalate,OC,TR,NOV,-5.1661576,119.3917443
Thursday,Night,sam ratulangi,makassar,TL,R4,R2,-5.1499595,119.4158152
Monday,Evening,rusa,makassar,TL,R4,R2,-5.1502899,119.4217149
Saturday,Evening,pettarani,panakkukang,TK,R2,R4,-5.1487126,119.4380057
Wednesday,Afternoon,letjen hertasning,panakkukang,OC,R2,NOV,-5.1625545,119.4430925
Monday,Evening,pengayoman,panakkukang,TK,R2,R4,-5.1592732,119.4466246
Saturday,Evening,telegraph utama,biringkanaya,TK,R2,R4,-5.13054,119.5149116
Saturday,Evening,perintis kemerdekaan,biringkanaya,TL,R4,R4,-5.117784,119.5110136
Sunday,Evening,poros perumnas sudiang,biringkanaya,OC,R2,NOV,-5.102836,119.532664
Sunday,Afternoon,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Saturday,Afternoon,rutan,rappocini,TL,R2,NOV,-5.17339175,119.43726876806642
Friday,Afternoon,cendrawasih,mariso,OC,R2,NOV,-5.155219,119.4137008
Friday,Evening,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Saturday,Afternoon,pajukukang,tamalate,OC,R2,NOV,-5.2019757,119.3874662
Saturday,Night,datu musseng,ujung pandang,TK,R4,R4,-5.1434702,119.409872
Thursday,Morning,mallombassang,tamalate,TK,R2,R2,-5.1754863,119.4156656
Thursday,Afternoon,jenderal sudirman,ujung pandang,TK,R4,R2,-5.1345222,119.4137962
Wednesday,Morning,cendrawasih,mariso,TK,R2,R2,-5.155219,119.4137008
Wednesday,Afternoon,sam ratulangi,mamajang,TL,R2,NOV,-5.1545939,119.4163683
Friday,Night,datu musseng,ujung pandang,TL,R4,R4,-5.1434702,119.409872
Tuesday,Night,antang raya,manggala,TK,R2,R2,-5.1602384,119.4774127
Thursday,Evening,muhajirin,tamalate,TK,R4,R4,-5.1863896,119.4323543
Thursday,Evening,batua raya,panakkukang,TL,R4,R4,-5.1496211,119.4605657
Wednesday,Afternoon,daeng tata raya,tamalate,OC,R2,NOV,-5.1850019,119.423432
Thursday,Afternoon,pettarani,rappocini,TL,R4,R4,-5.1510383,119.4374766
Thursday,Morning,perintis kemerdekaan,biringkanaya,TL,R4,R2,-5.117784,119.5110136
Friday,Morning,kima raya,biringkanaya,TK,R2,R2,-5.1103799,119.5032456
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,R4,R4,-5.117784,119.5110136
Friday,Morning,veteran utara,makassar,TK,R4,R2,-5.1392193,119.4233132
Sunday,Night,pelita raya,rappocini,OC,R4,NOV,-5.1528655,119.4341715
Sunday,Night,urip sumuharjo,makassar,OC,R2,NOV,-5.1348243,119.4316818
Friday,Afternoon,laikang,biringkanaya,TK,R2,R2,-5.1040237,119.5375731
Friday,Morning,perintis kemerdekaan,tamalanrea,T,R2,NOV,-5.1402715,119.48329437389705
Friday,Evening,tala' salapang i,rappocini,TL,R2,NOV,-5.1829836,119.4475458
Monday,Evening,profesor abdurrahman basalamah,panakkukang,TK,R2,R2,-5.1471505,119.4492661
Monday,Afternoon,letjen hertasning,rappocini,TK,R2,R4,-5.1630661,119.4444202
Saturday,Morning,veteran selatan,mamajang,TL,R4,R2,-5.162773,119.4212589
Sunday,Night,gunung bawakaraeng,ujung pandang,TK,R2,R2,-5.1348657,119.4243319
Monday,Afternoon,kerukunan timur 1,tamalanrea,TM,R2,NOV,-5.1396032,119.5097252
Tuesday,Evening,salodong,biringkanaya,TK,R4,R2,-5.0751774,119.4830507
Tuesday,Night,sungai saddang,makassar,TK,R4,R2,-5.1468435,119.4250654
Tuesday,Morning,urip sumuharjo,panakkukang,TL,R4,R2,-5.1348243,119.4316818
Tuesday,Afternoon,ujung bor,manggala,TL,R4,R2,-5.1656257,119.5074161
Sunday,Morning,kartini,ujung pandang,TL,R2,NOV,-5.136049,119.413662
Tuesday,Afternoon,urip sumuharjo,panakkukang,TL,R4,R2,-5.1348243,119.4316818
Wednesday,Morning,cendrawasih,mariso,TK,R2,R2,-5.155219,119.4137008
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TM,R2,NOV,-5.1402715,119.48329437389705
Wednesday,Morning,dg. regge,tallo,TL,R4,R2,-5.1249285,119.433072
Tuesday,Evening,andi mappaodang,tamalate,TL,R2,R2,-5.1732205,119.4158686
Thursday,Morning,urip sumuharjo,panakkukang,TL,R2,NOV,-5.1348243,119.4316818
Friday,Morning,veteran utara,makassar,TM,R2,NOV,-5.1392193,119.4233132
Friday,Night,metro tanjung bunga,mariso,OC,R2,NOV,-5.1523252,119.4054678
Friday,Morning,borong raya,manggala,TK,R2,R2,-5.1620883,119.4635886
Friday,Afternoon,inspeksi pam,makassar,TL,R2,NOV,-5.1501163,119.4756964
Thursday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Evening,urip sumuharjo,panakkukang,TK,R4,R4,-5.1348243,119.4316818
Sunday,Evening,pettarani,panakkukang,OC,R2,NOV,-5.1487126,119.4380057
Sunday,Afternoon,cendrawasih,mariso,TL,R2,R2,-5.155219,119.4137008
Sunday,Morning,urip sumuharjo,panakkukang,OC,B2,NOV,-5.1348243,119.4316818
Saturday,Morning,sungai saddang,ujung pandang,TL,R2,R2,-5.1468435,119.4250654
Saturday,Morning,mesjid raya,bontoala,TL,R4,R2,-5.1333841,119.4274196
Friday,Evening,perintis kemerdekaan,panakkukang,TK,R2,R2,-5.1451058,119.4735564
Friday,Afternoon,inspeksi kanal,panakkukang,TL,R4,B1,-5.1313688,119.4518812
Thursday,Afternoon,antang raya,manggala,OC,R2,NOV,-5.1602384,119.4774127
Sunday,Evening,urip sumuharjo,panakkukang,TL,R2,R2,-5.1348243,119.4316818
Tuesday,Morning,kima raya,tamalanrea,TK,R2,TR,-5.0948327,119.5073649
Thursday,Morning,paccerakkang,biringkanaya,TM,R2,NOV,-5.1239434,119.5224673
Monday,Morning,perintis kemerdekaan,biringkanaya,TK,R2,R2,-5.117784,119.5110136
Monday,Evening,toddopuli raya,panakkukang,TK,R2,R4,-5.1634474,119.4522972
Tuesday,Morning,urip sumuharjo,panakkukang,TL,R4,R2,-5.1348243,119.4316818
Monday,Evening,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Thursday,Night,somba opu,ujung pandang,TL,R2,R2,-5.1393015,119.4067492
Wednesday,Afternoon,barawaja,panakkukang,TL,R2,R2,-5.1357031,119.4402319
Monday,Evening,sunu,bontoala,TK,R4,R2,-5.1320485,119.4271119
Thursday,Morning,thamrin,ujung pandang,OC,R2,NOV,-5.1365726,119.4091304
Tuesday,Morning,sultan hasanuddin,ujung pandang,TK,R2,R2,-5.1444747,119.4127353
Monday,Morning,adipura,panakkukang,TL,R2,NOV,-5.1299635,119.4382732
Wednesday,Afternoon,perintis kemerdekaan,biringkanaya,TL,R4,R4,-5.117784,119.5110136
Tuesday,Morning,sam ratulangi,mariso,TL,R4,R2,-5.1545549,119.4162792
Thursday,Morning,insinyur sutami,biringkanaya,OC,R2,NOV,-5.0762253,119.515201
Wednesday,Evening,pettarani,panakkukang,TL,R4,R2,-5.1487126,119.4380057
Friday,Evening,haji bau,mariso,TL,R4,R4,-5.148609,119.4111046
Friday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Morning,pajaiang,biringkanaya,TK,R2,R2,-5.1048027,119.5252166
Saturday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Thursday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Evening,kima raya,biringkanaya,OC,R2,NOV,-5.1103799,119.5032456
